Rule,Confidence,Support,Lift
"(""'T1204.002'"",) -> (""'T1566.001'"",)",0.7686567164179104,0.1380697050938338,5.359045892035152
"(""'T1566.002'"",) -> (""'T1204.002'"",)",0.8214285714285714,0.06166219839142091,4.573027718550107
"(""'T1566.002'"",) -> (""'T1566.001'"",)",0.7678571428571429,0.057640750670241284,5.353471295060079
"(""'T1566.002'"",) -> (""'T1105'"",)",0.8035714285714286,0.06032171581769437,1.5370879120879122
"(""'T1124'"",) -> (""'T1082'"",)",0.7941176470588235,0.07238605898123325,1.8228054298642538
"(""'T1553.002'"",) -> (""'T1105'"",)",0.7090909090909091,0.05227882037533512,1.3563636363636364
"(""'T1132.001'"",) -> (""'T1071.001'"",)",0.7666666666666667,0.09249329758713137,1.900110741971207
"(""'T1082'"",) -> (""'T1105'"",)",0.7107692307692308,0.3096514745308311,1.3595739644970413
"(""'T1007'"",) -> (""'T1082'"",)",0.7222222222222222,0.05227882037533512,1.657777777777778
"(""'T1012'"",) -> (""'T1082'"",)",0.7395833333333334,0.09517426273458444,1.697628205128205
"(""'T1049'"",) -> (""'T1016'"",)",0.8,0.08042895442359249,2.7502304147465435
"(""'T1016'"",) -> (""'T1082'"",)",0.783410138248848,0.22788203753351208,1.7982275788727404
"(""'T1055.001'"",) -> (""'T1027'"",)",0.7192982456140351,0.054959785522788206,1.6980901621141462
"(""'T1059.005'"",) -> (""'T1027'"",)",0.7741935483870968,0.09651474530831099,1.8276847692935891
"(""'T1140'"",) -> (""'T1027'"",)",0.7268518518518519,0.21045576407506703,1.7159224097515238
"(""'T1204.001'"",) -> (""'T1027'"",)",0.7543859649122807,0.057640750670241284,1.7809238285587385
"(""'T1553.002'"",) -> (""'T1027'"",)",0.7636363636363637,0.05630026809651475,1.8027617951668586
"(""'T1566.002'"",) -> (""'T1027'"",)",0.7857142857142857,0.058981233243967826,1.8548824593128392
"(""'T1027.002'"",) -> (""'T1105'"",)",0.8125,0.0871313672922252,1.5541666666666667
"(""'T1007'"",) -> (""'T1057'"",)",0.7407407407407407,0.05361930294906166,2.3716420282943886
"(""'T1033'"",) -> (""'T1105'"",)",0.7722222222222223,0.1863270777479893,1.4771225071225074
"(""'T1041'"",) -> (""'T1071.001'"",)",0.7384615384615385,0.128686327077748,1.8302070023000256
"(""'T1041'"",) -> (""'T1082'"",)",0.7769230769230769,0.1353887399463807,1.783337278106509
"(""'T1041'"",) -> (""'T1105'"",)",0.7692307692307693,0.13404825737265416,1.4714003944773175
"(""'T1055'"",) -> (""'T1105'"",)",0.8666666666666667,0.06970509383378017,1.6577777777777778
"(""'T1057'"",) -> (""'T1082'"",)",0.7296137339055794,0.22788203753351208,1.6747441399801914
"(""'T1059.001'"",) -> (""'T1105'"",)",0.7094594594594594,0.14075067024128687,1.357068607068607
"(""'T1059.003'"",) -> (""'T1105'"",)",0.7162162162162162,0.28418230563002683,1.36999306999307
"(""'T1059.005'"",) -> (""'T1105'"",)",0.7956989247311828,0.09919571045576407,1.5220292252550316
"(""'T1071.001'"",) -> (""'T1105'"",)",0.717607973421927,0.289544235924933,1.3726552517250195
"(""'T1033'"",) -> (""'T1082'"",)",0.8555555555555555,0.2064343163538874,1.9638290598290598
"(""'T1057'"", ""'T1204.002'"") -> (""'T1082'"",)",0.8076923076923077,0.05630026809651475,1.8539644970414202
"(""'T1057'"", ""'T1547.001'"") -> (""'T1083'"",)",0.7075471698113207,0.10053619302949061,1.940552164261931
"(""'T1057'"", ""'T1543.003'"") -> (""'T1083'"",)",0.7916666666666666,0.05093833780160858,2.171262254901961
"(""'T1057'"", ""'T1140'"") -> (""'T1083'"",)",0.7096774193548387,0.08847184986595175,1.946394686907021
"(""'T1057'"", ""'T1113'"") -> (""'T1083'"",)",0.7534246575342466,0.07372654155495978,2.066377921031426
"(""'T1057'"", ""'T1518.001'"") -> (""'T1082'"",)",0.896551724137931,0.06970509383378017,2.057931034482759
"(""'T1057'"", ""'T1573.001'"") -> (""'T1082'"",)",0.7301587301587301,0.06166219839142091,1.675995115995116
"(""'T1057'"", ""'T1547.001'"") -> (""'T1082'"",)",0.839622641509434,0.1193029490616622,1.9272568940493469
"(""'T1057'"", ""'T1543.003'"") -> (""'T1082'"",)",0.7916666666666666,0.05093833780160858,1.8171794871794873
"(""'T1057'"", ""'T1573.001'"") -> (""'T1083'"",)",0.746031746031746,0.06300268096514745,2.0461017740429503
"(""'T1057'"", ""'T1112'"") -> (""'T1083'"",)",0.7166666666666667,0.057640750670241284,1.965563725490196
"(""'T1057'"", ""'T1106'"") -> (""'T1105'"",)",0.7380952380952381,0.08310991957104558,1.4118437118437117
"(""'T1057'"", ""'T1547.001'"") -> (""'T1105'"",)",0.7452830188679245,0.10589812332439678,1.4255926463473634
"(""'T1057'"", ""'T1113'"") -> (""'T1105'"",)",0.7397260273972602,0.07238605898123325,1.414963119072708
"(""'T1057'"", ""'T1140'"") -> (""'T1105'"",)",0.7526881720430108,0.0938337801608579,1.439757375241246
"(""'T1057'"", ""'T1204.002'"") -> (""'T1105'"",)",0.8269230769230769,0.057640750670241284,1.5817554240631162
"(""'T1057'"", ""'T1518.001'"") -> (""'T1105'"",)",0.8620689655172413,0.06702412868632708,1.6489832007073388
