Rule,Confidence,Support,Lift
"(""'T1047'"",) -> (""'T1027'"",)",0.7,0.08445040214477212,1.4425414364640885
"(""'T1036'"",) -> (""'T1027'"",)",0.7285714285714285,0.20509383378016086,1.5014206787687452
"(""'T1057'"",) -> (""'T1059'"",)",0.7081545064377682,0.22117962466487937,1.2578172900061313
"(""'T1016'"",) -> (""'T1082'"",)",0.7757847533632287,0.23190348525469168,1.7807243877199033
"(""'T1049'"",) -> (""'T1016'"",)",0.8,0.08042895442359249,2.6762331838565023
"(""'T1012'"",) -> (""'T1082'"",)",0.7395833333333334,0.09517426273458444,1.697628205128205
"(""'T1012'"",) -> (""'T1059'"",)",0.75,0.09651474530831099,1.332142857142857
"(""'T1012'"",) -> (""'T1027'"",)",0.71875,0.09249329758713137,1.4811809392265194
"(""'T1008'"",) -> (""'T1071'"",)",0.7916666666666666,0.05093833780160858,1.7842396777442093
"(""'T1008'"",) -> (""'T1059'"",)",0.7916666666666666,0.05093833780160858,1.4061507936507935
"(""'T1007'"",) -> (""'T1082'"",)",0.7222222222222222,0.05227882037533512,1.657777777777778
"(""'T1007'"",) -> (""'T1059'"",)",0.7037037037037037,0.05093833780160858,1.249911816578483
"(""'T1007'"",) -> (""'T1057'"",)",0.7407407407407407,0.05361930294906166,2.3716420282943886
"(""'T1005'"",) -> (""'T1105'"",)",0.7453416149068323,0.16085790884718498,1.425704730052556
"(""'T1005'"",) -> (""'T1059'"",)",0.7577639751552795,0.16353887399463807,1.345933155871044
"(""'T1102'"",) -> (""'T1027'"",)",0.7023809523809523,0.07908847184986595,1.4474480399894765
"(""'T1106'"",) -> (""'T1027'"",)",0.773972602739726,0.15147453083109919,1.5949822144857335
"(""'T1021'"",) -> (""'T1059'"",)",0.7530864197530864,0.08176943699731903,1.3376249265138154
"(""'T1140'"",) -> (""'T1027'"",)",0.8194444444444444,0.23726541554959785,1.6886893799877223
"(""'T1055'"",) -> (""'T1105'"",)",0.7285714285714285,0.13672922252010725,1.3936263736263739
"(""'T1124'"",) -> (""'T1027'"",)",0.7941176470588235,0.07238605898123325,1.6364965875853106
"(""'T1055'"",) -> (""'T1059'"",)",0.7,0.13136729222520108,1.2433333333333334
"(""'T1053'"",) -> (""'T1059'"",)",0.8142857142857143,0.15281501340482573,1.4463265306122448
"(""'T1049'"",) -> (""'T1059'"",)",0.72,0.07238605898123325,1.278857142857143
"(""'T1047'"",) -> (""'T1059'"",)",0.8111111111111111,0.09785522788203753,1.4406878306878306
"(""'T1041'"",) -> (""'T1105'"",)",0.7692307692307693,0.13404825737265416,1.4714003944773175
"(""'T1041'"",) -> (""'T1071'"",)",0.7846153846153846,0.13672922252010725,1.768347664420172
"(""'T1041'"",) -> (""'T1059'"",)",0.8,0.13941018766756033,1.4209523809523812
"(""'T1036'"",) -> (""'T1059'"",)",0.7238095238095238,0.2037533512064343,1.28562358276644
"(""'T1033'"",) -> (""'T1105'"",)",0.7722222222222223,0.1863270777479893,1.4771225071225074
"(""'T1041'"",) -> (""'T1082'"",)",0.7769230769230769,0.1353887399463807,1.783337278106509
